UEFA EURO 2024 Tournament Schedule;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Home page: www.excely.com;;;;Online schedule: www.wallchart.io;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;Language: English;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Round of 16;;;;;;;Quarterfinals;;;;;;;Semi-Finals;;;;;;;Final;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Group Stage;;;;;;;;;;;;;;Group A;PL;W;DRAW;L;GF - GA;PNT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;Germany;3;2;1;0;7 - 4;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jul 1, 2024   21:00;;;;Frankfurt;;;;;;;;;;;;;;;;;;;;;;
1;Fri;Jun 14, 2024;21:00;Germany;3;1;Scotland;Munich;;;;;;Hungary;3;1;2;0;5 - 3;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;Portugal;1;;;;;;;;;;;;;;;;;;;;;;;;
2;Sat;Jun 15, 2024;15:00;Hungary;1;1;Switzerland;Cologne;;;;;;Switzerland;3;1;1;1;4 - 4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Slovenia;0;;;;;Jul 5, 2024   21:00;;;;Hamburg;;;;;;;;;;;;;;;
3;Sat;Jun 15, 2024;18:00;Spain;4;1;Croatia;Berlin;;;;;;Scotland;3;0;0;3;2 - 7;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Portugal;0;;;;;;;;;;;;;;;;;
4;Sat;Jun 15, 2024;21:00;Italy;2;0;Albania;Dortmund;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jul 1, 2024   18:00;;;;Düsseldorf;;;;Netherlands;1;;;;;;;;;;;;;;;;;
5;Sun;Jun 16, 2024;15:00;Poland;0;2;Netherlands;Hamburg;;;;;;Group B;PL;W;DRAW;L;GF - GA;PNT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;Netherlands;1;;;;;;;;;;;;;;;;;;;;;;;;
6;Sun;Jun 16, 2024;18:00;Slovenia;1;1;Denmark;Stuttgart;;;;;;Spain;3;3;0;0;8 - 3;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Ukraine;0;;;;;;;;;;;;Jul 9, 2024   21:00;;;;Munich;;;;;;;;
7;Sun;Jun 16, 2024;21:00;Serbia;1;2;England;Gelsenkirchen;;;;;;Italy;3;1;1;1;5 - 4;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Netherlands;1;;;;;;;;;;
8;Mon;Jun 17, 2024;15:00;Romania;0;2;Ukraine;Munich;;;;;;Croatia;3;1;1;1;4 - 6;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jun 29, 2024   21:00;;;;Dortmund;;;;;;;;;;;Spain;0;;;;;;;;;;
9;Mon;Jun 17, 2024;18:00;Belgium;3;0;Slovakia;Frankfurt;;;;;;Albania;3;0;0;3;1 - 5;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;Germany;1;;;;;;;;;;;;;;;;;;;;;;;;
10;Mon;Jun 17, 2024;21:00;Austria;1;2;France;Düsseldorf;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Denmark;0;;;;;Jul 5, 2024   18:00;;;;Stuttgart;;;;;;;;;;;;;;;
11;Tue;Jun 18, 2024;18:00;Turkey;2;2;Georgia;Dortmund;;;;;;Group C;PL;W;DRAW;L;GF - GA;PNT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Germany;0;;;;;;;;;;;;;;;;;
12;Tue;Jun 18, 2024;21:00;Portugal;3;0;Czech Republic;Leipzig;;;;;;England;3;3;0;0;6 - 3;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jun 30, 2024   21:00;;;;Cologne;;;;Spain;1;;;;;;;;;;;;;;;;;
13;Wed;Jun 19, 2024;15:00;Croatia;2;1;Albania;Hamburg;;;;;;Denmark;3;1;1;1;3 - 3;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;Spain;1;;;;;;;;;;;;;;;;;;;Jul 14, 2024   21:00;;;;Berlin;
14;Wed;Jun 19, 2024;18:00;Germany;2;2;Hungary;Stuttgart;;;;;;Slovenia;3;1;1;1;3 - 3;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Switzerland;0;;;;;;;;;;;;;;;;;;;;Netherlands;0;;;
15;Wed;Jun 19, 2024;21:00;Scotland;1;2;Switzerland;Cologne;;;;;;Serbia;3;0;0;3;1 - 4;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;France;1;;;
16;Thu;Jun 20, 2024;15:00;Slovenia;1;0;Serbia;Munich;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jun 30, 2024   18:00;;;;Gelsenkirchen;;;;;;;;;;;;;;;;;;;;;;
17;Thu;Jun 20, 2024;18:00;Denmark;1;2;England;Frankfurt;;;;;;Group D;PL;W;DRAW;L;GF - GA;PNT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;England;1;;;;;;;;;;;;;;;;;;;;;;;;
18;Thu;Jun 20, 2024;21:00;Spain;3;2;Italy;Gelsenkirchen;;;;;;France;3;2;1;0;8 - 3;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Austria;0;;;;;Jul 6, 2024   18:00;;;;Düsseldorf;;;;;;;;;;;;;;;
19;Fri;Jun 21, 2024;15:00;Slovakia;0;1;Ukraine;Düsseldorf;;;;;;Netherlands;3;2;1;0;7 - 4;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;England;1;;;;;;;;;;;;;;;;;
20;Fri;Jun 21, 2024;18:00;Poland;0;3;Austria;Berlin;;;;;;Austria;3;1;0;2;6 - 5;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jun 29, 2024   18:00;;;;Berlin;;;;Italy;0;;;;;;;;;;;;;;;;;
21;Fri;Jun 21, 2024;21:00;Netherlands;2;2;France;Leipzig;;;;;;Poland;3;0;0;3;0 - 9;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;Hungary;0;;;;;;;;;;;;;;;;;;;;;;;;
22;Sat;Jun 22, 2024;15:00;Georgia;0;0;Czech Republic;Hamburg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Italy;1;;;;;;;;;;;;Jul 10, 2024   21:00;;;;Dortmund;;;;;;;;
23;Sat;Jun 22, 2024;18:00;Turkey;1;4;Portugal;Dortmund;;;;;;Group E;PL;W;DRAW;L;GF - GA;PNT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;England;0;;;;;;;;;;
24;Sat;Jun 22, 2024;21:00;Belgium;2;0;Romania;Cologne;;;;;;Belgium;3;2;1;0;6 - 1;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jul 2, 2024   18:00;;;;Munich;;;;;;;;;;;France;1;;;;;;;;;;
25;Sun;Jun 23, 2024;21:00;Switzerland;1;2;Germany;Frankfurt;;;;;;Ukraine;3;2;1;0;4 - 1;7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;8;Belgium;1;;;;;;;;;;;;;;;;;;;;;;;;
26;Sun;Jun 23, 2024;21:00;Scotland;0;2;Hungary;Stuttgart;;;;;;Romania;3;0;1;2;1 - 5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Croatia;0;;;;;Jul 6, 2024   21:00;;;;Berlin;;;;;;;;;;;;;;;
27;Mon;Jun 24, 2024;21:00;Albania;0;1;Spain;Düsseldorf;;;;;;Slovakia;3;0;1;2;1 - 5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Belgium;0;;;;;;;;;;;;;;;;;
28;Mon;Jun 24, 2024;21:00;Croatia;1;1;Italy;Leipzig;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Jul 2, 2024   21:00;;;;Leipzig;;;;France;1;;;;;;;;;;;;;;;;;
29;Tue;Jun 25, 2024;18:00;Netherlands;3;2;Austria;Berlin;;;;;;Group F;PL;W;DRAW;L;GF - GA;PNT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;France;2;;;;;;;;;;;;;;;;;;;;;;;;
30;Tue;Jun 25, 2024;18:00;France;4;0;Poland;Dortmund;;;;;;Portugal;3;3;0;0;10 - 1;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Turkey;0;;;;;;;;;;;;;;;;;;;;;;;;
31;Tue;Jun 25, 2024;21:00;England;2;1;Slovenia;Cologne;;;;;;Turkey;3;1;1;1;5 - 7;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;Tue;Jun 25, 2024;21:00;Denmark;1;0;Serbia;Munich;;;;;;Georgia;3;0;2;1;2 - 5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;Champion 2024;;;;;;France;;;;;;;
